Frame,Prediction,Confidence,FPS
1,non-crocodile,0.9861,0.69
2,non-crocodile,0.9899,0.84
3,non-crocodile,0.9933,0.89
4,non-crocodile,0.9948,0.93
5,non-crocodile,0.9955,0.84
6,non-crocodile,0.9958,0.74
7,non-crocodile,0.9959,0.92
8,non-crocodile,0.9982,0.87
9,non-crocodile,0.9992,0.76
10,non-crocodile,0.9996,0.84
11,non-crocodile,0.9996,0.7
12,non-crocodile,0.9996,0.88
13,non-crocodile,0.9996,0.82
14,non-crocodile,0.9997,0.84
15,non-crocodile,0.9998,0.73
16,non-crocodile,0.9998,0.89
17,non-crocodile,0.9998,0.9
18,non-crocodile,0.9998,0.84
19,non-crocodile,0.9998,0.78
20,non-crocodile,0.9995,0.84
21,non-crocodile,0.9986,0.88
22,non-crocodile,0.9977,0.88
23,non-crocodile,0.9977,0.78
24,non-crocodile,0.9969,0.91
25,non-crocodile,0.9962,0.91
26,non-crocodile,0.9961,0.86
27,non-crocodile,0.9967,0.75
28,non-crocodile,0.9976,0.91
29,non-crocodile,0.9969,0.81
30,non-crocodile,0.9969,0.74
31,non-crocodile,0.9965,0.9
32,non-crocodile,0.997,0.87
33,non-crocodile,0.9969,0.9
34,non-crocodile,0.9968,0.78
35,non-crocodile,0.9983,0.91
36,non-crocodile,0.9978,0.87
37,non-crocodile,0.9977,0.84
38,non-crocodile,0.9976,0.75
39,non-crocodile,0.9971,0.89
40,non-crocodile,0.9973,0.82
41,non-crocodile,0.9972,0.79
42,non-crocodile,0.9972,0.95
43,non-crocodile,0.9972,0.89
44,non-crocodile,0.9972,0.77
45,non-crocodile,0.9972,0.78
46,non-crocodile,0.9972,0.91
47,non-crocodile,0.9973,0.87
48,non-crocodile,0.9973,0.87
49,non-crocodile,0.9972,0.76
50,non-crocodile,0.9973,0.77
51,crocodile,0.6025,0.86
52,crocodile,0.5878,0.91
53,crocodile,0.5536,0.87
54,crocodile,0.5428,0.77
55,crocodile,0.5593,0.9
56,crocodile,0.5678,0.87
57,crocodile,0.5686,0.84
58,crocodile,0.5746,0.78
59,crocodile,0.575,0.92
60,crocodile,0.5616,0.88
61,crocodile,0.5502,0.79
62,crocodile,0.5411,0.82
63,crocodile,0.5596,0.93
64,crocodile,0.5559,0.89
65,crocodile,0.5581,0.75
66,crocodile,0.5538,0.79
67,crocodile,0.5792,0.88
68,crocodile,0.5761,0.88
69,crocodile,0.547,0.73
70,crocodile,0.5736,0.92
71,crocodile,0.6031,0.86
72,crocodile,0.5281,0.76
73,non-crocodile,0.5499,0.79
74,non-crocodile,0.5645,0.88
75,non-crocodile,0.6159,0.75
76,non-crocodile,0.5383,0.87
77,non-crocodile,0.5778,0.78
78,non-crocodile,0.6028,0.85
79,non-crocodile,0.5717,0.87
80,non-crocodile,0.5072,0.79
81,crocodile,0.5432,0.92
82,crocodile,0.5251,0.81
83,crocodile,0.6303,0.83
84,crocodile,0.6535,0.78
85,crocodile,0.7244,0.94
86,crocodile,0.7327,0.8
87,crocodile,0.7822,0.75
88,crocodile,0.862,0.76
89,crocodile,0.8688,0.93
90,crocodile,0.8101,0.89
91,crocodile,0.8793,0.82
92,crocodile,0.9232,0.76
93,crocodile,0.8555,0.88
94,crocodile,0.8912,0.92
95,crocodile,0.8468,0.73
96,crocodile,0.8682,0.92
97,crocodile,0.8529,0.87
98,crocodile,0.856,0.85
99,crocodile,0.9048,0.74
100,crocodile,0.9086,0.92
101,crocodile,0.8803,0.89
102,crocodile,0.9314,0.87
103,crocodile,0.8879,0.73
104,crocodile,0.8971,0.95
105,crocodile,0.9096,0.89
106,crocodile,0.9581,0.84
107,crocodile,0.9461,0.74
